UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
MA;FORTALEZA DOS NOGUEIRAS;4548;622;0;126;13;438;32;0;0;15;2681;566;12;0;14;15;0;0;0;0;0;14
RS;FORTALEZA DOS VALOS;3611;1830;0;298;25;698;137;0;0;6;428;28;25;0;80;29;0;2;0;0;0;25
CE;FORTIM;4479;1756;0;64;5;371;83;0;33;28;1631;355;30;0;75;7;0;1;0;0;0;40
MA;FORTUNA;3144;396;0;51;0;288;25;0;0;23;2149;190;4;0;6;0;0;0;0;0;2;10
MG;FORTUNA DE MINAS;1205;624;0;48;5;131;35;0;17;6;286;8;14;0;24;2;0;0;0;0;1;4
PR;FOZ DO IGUACU;203549;121503;0;4112;3052;12933;7320;2;75;1232;35220;5057;1613;19;3382;5822;13;41;0;12;79;2062
PR;FOZ DO JORDAO;2910;2059;0;101;22;271;66;0;0;14;233;42;27;0;39;20;2;1;0;0;1;12
SC;FRAIBURGO;26473;17052;0;998;270;2597;895;0;2;63;2776;669;262;0;325;265;14;12;0;10;5;258
SP;FRANCA;278087;162782;0;4040;811;20881;8825;0;909;458;61230;8312;664;0;4463;1034;18;17;0;33;63;3547
PI;FRANCINOPOLIS;1069;186;0;22;0;90;9;0;3;13;614;127;4;0;0;0;0;0;0;1;0;0
PR;FRANCISCO ALVES;4775;2187;0;207;49;446;74;0;2;9;1241;332;48;0;106;56;0;1;0;1;0;16
PI;FRANCISCO AYRES;834;163;0;13;0;62;4;0;1;10;475;91;7;0;8;0;0;0;0;0;0;0
MG;FRANCISCO BADARO;2721;542;0;57;0;200;21;0;0;12;1783;55;35;0;13;0;0;1;0;0;0;2
PR;FRANCISCO BELTRAO;71081;38681;0;2551;907;6942;2318;0;77;211;10283;5126;291;0;1241;1408;6;22;0;1;14;1002
RN;FRANCISCO DANTAS;1130;275;0;22;0;69;13;0;5;3;629;104;4;0;4;0;0;0;0;0;0;2
MG;FRANCISCO DUMONT;1785;737;0;106;17;177;28;0;1;6;590;27;43;0;23;18;0;0;0;0;1;11
PI;FRANCISCO MACEDO;672;250;0;44;6;51;4;0;0;13;264;13;9;0;8;8;0;0;0;1;0;1
SP;FRANCISCO MORATO;55066;37894;0;602;34;2634;1967;0;23;271;10078;923;245;0;192;26;0;2;0;6;14;155
MG;FRANCISCO SA;8318;3271;0;288;95;730;157;0;46;29;3051;200;144;0;166;106;0;2;0;0;4;29
PI;FRANCISCO SANTOS;1647;556;0;101;7;194;13;0;0;12;585;136;8;0;16;12;0;0;0;0;0;7
MG;FRANCISCOPOLIS;1194;365;0;22;3;112;20;0;4;11;611;8;20;0;8;2;0;0;0;0;5;3
SP;FRANCO DA ROCHA;64513;43586;0;1239;101;4149;2502;0;19;292;10307;1214;222;0;371;83;0;6;0;24;10;388
CE;FRECHEIRINHA;6357;1126;0;110;29;237;43;0;7;20;3532;1126;30;0;37;38;0;0;0;0;1;21
RS;FREDERICO WESTPHALEN;25010;13715;0;962;279;2400;985;0;6;50;3980;1358;105;0;471;342;5;13;0;5;5;329
MG;FREI GASPAR;1460;463;0;39;0;91;24;0;11;10;767;17;19;0;16;1;0;0;0;0;1;1
MG;FREI INOCENCIO;3171;1372;0;105;25;253;46;0;15;9;1145;55;30;0;77;33;0;0;0;0;2;4
MG;FREI LAGONEGRO;1362;443;0;17;0;88;13;0;0;2;736;38;15;0;7;0;0;0;0;0;0;3
PB;FREI MARTINHO;348;106;0;11;1;28;3;0;0;2;177;12;6;0;0;2;0;0;0;0;0;0
PE;FREI MIGUELINHO;4605;1692;0;269;55;440;86;0;6;136;1645;136;26;0;46;58;0;0;0;0;0;10
SE;FREI PAULO;4661;1666;0;163;26;354;47;0;162;14;1682;365;38;0;93;44;0;0;0;0;3;4
SC;FREI ROGERIO;1900;945;0;119;1;303;39;0;0;11;411;25;20;0;20;1;0;0;0;1;0;4
MG;FRONTEIRA;8328;4051;0;284;49;778;219;0;54;38;1709;376;119;0;545;67;5;2;0;0;2;30
MG;FRONTEIRA DOS VALES;911;345;0;14;0;86;19;0;3;7;417;12;6;0;2;0;0;0;0;0;0;0
PI;FRONTEIRAS;4621;1208;0;250;98;466;48;0;1;45;2164;167;25;0;57;67;0;0;0;3;1;21
MG;FRUTA DE LEITE;1166;374;0;26;2;95;16;0;1;6;591;9;35;0;8;0;0;0;0;1;0;2
MG;FRUTAL;47142;21616;0;1785;402;4702;1123;0;184;176;9544;4328;267;0;2068;664;32;6;0;1;12;232
RN;FRUTUOSO GOMES;1566;422;0;34;4;83;14;0;1;12;847;109;4;0;26;3;0;0;0;0;0;7
ES;FUNDAO;8519;4320;0;397;96;952;323;0;4;70;1628;274;60;0;197;94;0;1;0;38;10;55
